program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
ex9_3.csv,433.0,288.0,132.0,0.0,290.0,128.0,2.0,246.0,43.0,42.0,77.0,0.0,386.0,47.0,0.0,552.0,36.0,0.0,218.0,132.0,2021.0,288.0,277.0,0.0,2980.0,92.524536,0.0,0.0,433.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,39.0,0.0,0.0,0.0,259.0,148.0,0.0,39.0,33.0,908.0,1135.0,315.0,343.0,2842.0,1.0,2020.0,1.0,976.0,0.0
ex9_4.csv,708.0,471.0,221.0,0.0,479.0,208.0,5.0,402.0,76.0,69.0,130.0,0.0,631.0,77.0,0.0,913.0,60.0,0.0,377.0,221.0,3333.0,471.0,460.0,0.0,4913.0,113.60142400000001,0.0,0.0,708.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,66.0,0.0,0.0,0.0,432.0,263.0,0.0,66.0,50.0,1553.0,1896.0,508.0,614.0,4758.0,1.0,3332.0,1.0,1628.0,0.0
ex8_2.csv,221.0,140.0,69.0,0.0,142.0,65.0,2.0,115.0,27.0,25.0,31.0,0.0,190.0,31.0,0.0,278.0,20.0,0.0,131.0,69.0,1064.0,140.0,143.0,0.0,1582.0,98.871966,0.0,0.0,221.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,134.0,88.0,0.0,26.0,19.0,503.0,610.0,168.0,207.0,1481.0,1.0,1063.0,1.0,545.0,0.0
ex7_0.csv,25.0,12.0,9.0,0.0,12.0,9.0,0.0,8.0,4.0,4.0,2.0,0.0,19.0,6.0,0.0,30.0,6.0,0.0,26.0,9.0,158.0,12.0,18.0,0.0,232.0,40.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,17.0,17.0,0.0,5.0,6.0,81.0,93.0,25.0,40.0,213.0,1.0,157.0,1.0,93.0,0.0
ex7_2.csv,125.0,76.0,41.0,0.0,77.0,39.0,1.0,65.0,12.0,11.0,22.0,0.0,105.0,20.0,0.0,158.0,15.0,0.0,88.0,41.0,685.0,76.0,91.0,0.0,1006.0,73.6352,0.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,87.0,62.0,0.0,18.0,10.0,355.0,412.0,112.0,160.0,961.0,1.0,684.0,1.0,374.0,0.0
ex8_5.csv,847.0,544.0,273.0,0.0,558.0,252.0,7.0,442.0,116.0,99.0,131.0,0.0,722.0,125.0,0.0,1090.0,80.0,0.0,546.0,273.0,4135.0,544.0,557.0,0.0,6131.0,243.889302,0.0,0.0,847.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,104.0,0.0,0.0,0.0,525.0,376.0,0.0,104.0,68.0,2041.0,2419.0,626.0,848.0,5810.0,1.0,4134.0,1.0,2129.0,0.0
ex7_4.csv,563.0,359.0,190.0,0.0,366.0,179.0,4.0,318.0,48.0,41.0,129.0,0.0,483.0,80.0,0.0,739.0,67.0,0.0,430.0,190.0,3148.0,359.0,427.0,0.0,4594.0,125.30129699999998,0.0,0.0,563.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,76.0,0.0,0.0,0.0,408.0,325.0,0.0,76.0,31.0,1729.0,1930.0,478.0,800.0,4631.0,1.0,3147.0,1.0,1729.0,0.0
ex8_0.csv,29.0,15.0,10.0,0.0,15.0,10.0,0.0,11.0,4.0,4.0,3.0,0.0,24.0,5.0,0.0,35.0,6.0,0.0,27.0,10.0,170.0,15.0,22.0,0.0,251.0,39.25,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,20.0,17.0,0.0,5.0,7.0,82.0,97.0,27.0,40.0,230.0,1.0,169.0,1.0,95.0,0.0
ex9_5.csv,983.0,654.0,310.0,0.0,668.0,288.0,8.0,558.0,109.0,96.0,183.0,0.0,876.0,107.0,0.0,1274.0,84.0,0.0,537.0,310.0,4644.0,654.0,643.0,0.0,6845.0,134.732322,0.0,0.0,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,93.0,0.0,0.0,0.0,605.0,378.0,0.0,93.0,68.0,2198.0,2657.0,701.0,885.0,6679.0,1.0,4643.0,1.0,2278.0,0.0
ex7_1.csv,66.0,38.0,22.0,0.0,38.0,22.0,0.0,32.0,6.0,6.0,11.0,0.0,52.0,14.0,0.0,82.0,10.0,0.0,54.0,22.0,386.0,38.0,53.0,0.0,567.0,56.359602,0.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,50.0,36.0,0.0,11.0,9.0,197.0,229.0,65.0,92.0,545.0,1.0,385.0,1.0,213.0,0.0
