Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
csm_rand_320.c.out,1829049,1000589,15580,2405,163138,<not counted>,58,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_144.c.out,3086845,2072861,17329,1157,224020,<not counted>,59,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_466.c.out,1752201,979419,15360,2043,161494,<not counted>,58,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_286.c.out,1365765,717936,15149,1906,142406,<not counted>,53,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_252.c.out,1470782,731977,15200,1722,144540,<not counted>,53,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_471.c.out,1288682,720854,14332,1512,141380,<not counted>,53,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_275.c.out,1362499,762366,14746,1597,146504,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_300.c.out,1963085,1175975,16074,1740,174347,<not counted>,59,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_555.c.out,1261476,705237,14693,1723,143625,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_952.c.out,1292122,725181,14940,1289,144990,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_206.c.out,1286879,706244,14722,1278,140837,<not counted>,52,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_928.c.out,1376450,738939,14967,1429,145536,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_767.c.out,Time Exceed
csm_rand_285.c.out,Time Exceed
csm_rand_493.c.out,1689179,735082,15049,1592,144823,<not counted>,53,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_890.c.out,Time Exceed
csm_rand_566.c.out,1537470,820442,15381,1857,151975,<not counted>,56,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_339.c.out,1588694,864076,15462,1763,153476,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_680.c.out,1385443,779447,14825,1534,147731,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_652.c.out,1331501,696670,14576,1443,142456,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_53.c.out,1299165,698890,14712,1605,142815,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_497.c.out,1715015,1063546,15700,1834,164752,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_168.c.out,1394815,726904,14836,1559,145010,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_52.c.out,1281400,683230,14819,1578,139428,<not counted>,52,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_998.c.out,1378153,715496,14822,1551,144325,<not counted>,55,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_748.c.out,1309194,753554,14665,1368,145236,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_12.c.out,1351132,706839,14976,1502,141081,<not counted>,53,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_226.c.out,1444619,751894,15140,1438,146968,<not counted>,56,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_992.c.out,1344388,705484,14829,1464,142521,<not counted>,54,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
csm_rand_990.c.out,Time Exceed
csm_rand_751.c.out,Time Exceed
csm_rand_821.c.out,Time Exceed
