File,Size
csm_rand_144.c.out,257343
csm_rand_869.c.out,255867
csm_rand_181.c.out,238143
csm_rand_335.c.out,204995
csm_rand_747.c.out,201827
csm_rand_265.c.out,201627
csm_rand_911.c.out,195695
csm_rand_316.c.out,194483
csm_rand_511.c.out,188971
csm_rand_614.c.out,184267
csm_rand_925.c.out,176171
csm_rand_972.c.out,174755
csm_rand_12.c.out,174115
csm_rand_935.c.out,173187
csm_rand_527.c.out,172555
csm_rand_877.c.out,170203
csm_rand_660.c.out,167411
csm_rand_687.c.out,166467
csm_rand_978.c.out,164131
csm_rand_851.c.out,163443
csm_rand_331.c.out,161963
csm_rand_188.c.out,160795
csm_rand_737.c.out,159279
csm_rand_606.c.out,159127
csm_rand_48.c.out,158159
csm_rand_83.c.out,157491
csm_rand_64.c.out,157139
csm_rand_866.c.out,157099
csm_rand_816.c.out,155787
csm_rand_497.c.out,154763
csm_rand_480.c.out,152831
csm_rand_751.c.out,151443
csm_rand_565.c.out,149299
csm_rand_691.c.out,145383
csm_rand_475.c.out,145207
csm_rand_185.c.out,144723
csm_rand_828.c.out,144147
csm_rand_157.c.out,142099
csm_rand_138.c.out,141515
csm_rand_430.c.out,140011
csm_rand_150.c.out,139171
csm_rand_801.c.out,139011
csm_rand_963.c.out,138339
csm_rand_888.c.out,137387
csm_rand_21.c.out,136071
csm_rand_782.c.out,135931
csm_rand_783.c.out,135099
csm_rand_210.c.out,132867
csm_rand_609.c.out,132023
csm_rand_76.c.out,131979
csm_rand_770.c.out,130707
csm_rand_461.c.out,130387
csm_rand_666.c.out,129731
csm_rand_285.c.out,129723
csm_rand_41.c.out,129323
csm_rand_88.c.out,129131
csm_rand_373.c.out,128843
csm_rand_32.c.out,128803
csm_rand_890.c.out,128139
csm_rand_221.c.out,126875
csm_rand_919.c.out,126443
csm_rand_646.c.out,125867
csm_rand_47.c.out,125339
csm_rand_110.c.out,124795
csm_rand_617.c.out,124755
csm_rand_286.c.out,124163
csm_rand_312.c.out,123859
csm_rand_129.c.out,122639
csm_rand_634.c.out,122171
csm_rand_3.c.out,121707
csm_rand_958.c.out,121659
csm_rand_541.c.out,121044
csm_rand_780.c.out,120971
csm_rand_988.c.out,120947
csm_rand_300.c.out,120867
csm_rand_735.c.out,120819
csm_rand_460.c.out,120155
csm_rand_72.c.out,120099
csm_rand_298.c.out,119579
csm_rand_191.c.out,119323
csm_rand_543.c.out,118675
csm_rand_628.c.out,118579
csm_rand_544.c.out,118011
csm_rand_197.c.out,117883
csm_rand_207.c.out,117715
csm_rand_917.c.out,116843
csm_rand_340.c.out,116639
csm_rand_470.c.out,116571
csm_rand_291.c.out,116107
csm_rand_282.c.out,114571
csm_rand_762.c.out,113911
csm_rand_929.c.out,113835
csm_rand_846.c.out,112859
csm_rand_558.c.out,112827
csm_rand_626.c.out,112739
csm_rand_220.c.out,112591
csm_rand_339.c.out,112295
csm_rand_415.c.out,110691
csm_rand_595.c.out,110579
csm_rand_611.c.out,110282
csm_rand_23.c.out,109515
csm_rand_226.c.out,108923
csm_rand_10.c.out,108283
csm_rand_694.c.out,108179
csm_rand_6.c.out,107792
csm_rand_412.c.out,107491
csm_rand_835.c.out,106339
csm_rand_317.c.out,106283
csm_rand_895.c.out,106235
csm_rand_255.c.out,105651
csm_rand_941.c.out,105507
csm_rand_818.c.out,105331
csm_rand_699.c.out,105299
csm_rand_266.c.out,105275
csm_rand_748.c.out,104847
csm_rand_361.c.out,104635
csm_rand_276.c.out,104419
csm_rand_267.c.out,104355
csm_rand_755.c.out,104051
csm_rand_522.c.out,103771
csm_rand_584.c.out,103755
csm_rand_645.c.out,103683
csm_rand_464.c.out,103579
csm_rand_713.c.out,103091
csm_rand_346.c.out,103043
csm_rand_28.c.out,102915
csm_rand_600.c.out,102611
csm_rand_44.c.out,102379
csm_rand_366.c.out,102347
csm_rand_875.c.out,101683
csm_rand_927.c.out,100811
csm_rand_739.c.out,100459
