Program,Compiler,Opt,Binary_Size(B),Compilation_User(s),Compilation_Sys(s),Exec_User(s),Exec_Sys(s)
P4_A,tcc,NONE,33649,0.00,0.00,15.51,0.00
P4_A,gcc,O0,25439,0.32,0.10,14.60,0.00
P4_A,gcc,O1,15579,0.65,0.10,4.16,0.00
P4_A,gcc,O2,15492,0.85,0.12,3.90,0.00
P4_A,gcc,O3,22458,1.20,0.12,3.35,0.00
P4_A,clang,O0,24742,0.38,0.19,13.47,0.00
P4_A,clang,O1,16529,0.89,0.20,4.09,0.00
P4_A,clang,O2,20861,1.12,0.18,3.22,0.00
P4_A,clang,O3,21805,0.99,0.18,3.23,0.00
P1_A,tcc,NONE,44086,0.06,0.02,5.17,0.00
P1_A,gcc,O0,32263,0.55,0.21,4.83,0.01
P1_A,gcc,O1,20251,1.05,0.24,1.33,0.00
P1_A,gcc,O2,21044,1.28,0.22,1.08,0.00
P1_A,gcc,O3,29458,1.63,0.25,0.41,0.00
P1_A,clang,O0,30798,0.76,0.45,3.87,0.00
P1_A,clang,O1,20913,1.46,0.41,1.27,0.00
P1_A,clang,O2,24165,1.65,0.47,0.34,0.00
P1_A,clang,O3,25365,1.68,0.45,0.34,0.00
P2_SL,tcc,NONE,94203,0.07,0.01,0.94,0.10
P2_SL,gcc,O0,77726,0.76,0.22,0.82,0.12
P2_SL,gcc,O1,32659,1.29,0.22,0.65,0.10
P2_SL,gcc,O2,37347,1.85,0.30,0.62,0.11
P2_SL,gcc,O3,39827,2.00,0.27,0.62,0.12
P2_SL,clang,O0,83173,0.87,0.43,0.92,0.09
P2_SL,clang,O1,35904,1.96,0.50,0.59,0.13
P2_SL,clang,O2,31480,2.04,0.48,0.49,0.09
P2_SL,clang,O3,31544,2.06,0.47,0.46,0.10
P5_SL,tcc,NONE,91545,0.03,0.03,2.66,0.47
P5_SL,gcc,O0,75422,0.57,0.16,2.30,0.54
P5_SL,gcc,O1,31275,1.12,0.16,1.81,0.48
P5_SL,gcc,O2,35451,1.64,0.26,1.75,0.55
P5_SL,gcc,O3,36923,1.81,0.23,1.73,0.52
P5_SL,clang,O0,81349,0.64,0.33,2.45,0.53
P5_SL,clang,O1,33064,1.70,0.35,1.11,0.13
P5_SL,clang,O2,31728,1.79,0.36,1.04,0.13
P5_SL,clang,O3,31824,1.83,0.34,1.06,0.08
P4_SL,tcc,NONE,98212,0.04,0.02,2.19,0.45
P4_SL,gcc,O0,80814,0.54,0.18,2.01,0.45
P4_SL,gcc,O1,32899,1.11,0.19,1.53,0.53
P4_SL,gcc,O2,37651,1.69,0.21,1.48,0.57
P4_SL,gcc,O3,39139,1.86,0.15,1.42,0.49
P4_SL,clang,O0,87301,0.62,0.25,2.08,0.49
P4_SL,clang,O1,35360,1.76,0.26,0.73,0.07
