Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
P4_A,289762322146,589240381715,2056672,227395,151783841739,73600652,348,151996460034,73440941,335943466384,7661171,50849215789,2935156,<not supported>,2013996,<not supported>,9989584,<not supported>,<not supported>,863993,183163,178845,46220,65564,336159970591,239716,50736075840,87754,<not supported>,<not supported>,328004,56770
P1_A,51328187850,101659501545,852168,109014,15208728804,10187916,1177,15198997094,10136012,58022302942,1881263,14328926922,795549,<not supported>,459979,<not supported>,2124805,<not supported>,<not supported>,222117,34671,182100,67478,12269,58066038025,55987,14317243910,17355,<not supported>,<not supported>,20790,13367
P2_SL,16110421474,26626548273,19325161,16239419,7653095389,73465284,248404,7713939049,74249532,9478234525,22967024,3274806003,18892423,<not supported>,603474,<not supported>,19704775,<not supported>,<not supported>,1190603,205193,15534387,10173070,746279,9501485035,2716338,3288935609,1658049,<not supported>,<not supported>,11136090,411290
P5_SL,61720007601,107128413556,102814145,93737076,30402687298,194580858,1458722,30459027604,194848981,36842911865,136950194,13306696647,111516411,<not supported>,11769750,<not supported>,53989012,<not supported>,<not supported>,7244537,1743538,93285196,56027454,3288393,36812519515,15180101,13280887466,8473512,<not supported>,<not supported>,164548,2087986
P4_SL,49726877659,86442783143,94507911,86408890,23638439662,152700355,1350208,23659204202,152555329,28443054245,130217721,11274431843,105472450,<not supported>,11748400,<not supported>,54709079,<not supported>,<not supported>,6711557,1411878,86251384,52360532,3886996,28433017019,13980162,11272079309,8273047,<not supported>,<not supported>,465549,1964814
P3_A,123857989925,242305906293,926392,111633,35545361153,52891193,172,35566067673,52763593,138189149598,3632731,34354355061,1344065,<not supported>,640430,<not supported>,5411726,<not supported>,<not supported>,306820,93584,138254,16977,39536,138395441680,119934,34346356354,31022,<not supported>,<not supported>,148599,826892
P1_SL,79189756158,146778854249,267599690,249007546,32339912875,55116555,3873061,32478292063,57309810,38950322652,354833995,22924419555,299681624,<not supported>,28028850,<not supported>,154031050,<not supported>,<not supported>,14622745,2214698,249193348,148144457,8071159,38537768969,39703798,22850738956,22493391,<not supported>,<not supported>,310511,4698032
P3_SL,29517615100,48959189295,50188138,44354889,13327011688,104492894,688127,13358070376,105091371,16086294703,64232079,6432196910,53227203,<not supported>,4560927,<not supported>,26224806,<not supported>,<not supported>,3361956,669047,43600782,26650641,2233542,16119968896,7941182,6438710641,4164211,<not supported>,<not supported>,389803,767850
P5_A,263329187579,535644345896,2041547,247170,135702245989,128077947,371,135790712327,128217300,304222888135,7993817,48730146072,2737607,<not supported>,1456149,<not supported>,10258654,<not supported>,<not supported>,720889,197865,316225,41960,68319,303970867495,300465,48459777643,68418,<not supported>,<not supported>,9636583,57384
P2_A,35504026451,69807200032,374438,29800,10115198020,5825459,52,10131354531,5790858,39902648408,1234898,9955059130,444850,<not supported>,328511,<not supported>,1426324,<not supported>,<not supported>,98570,28263,71980,3375,13073,39964967777,30666,9951817376,9887,<not supported>,<not supported>,12209,22052
