Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
P4_A,313292571413,672835942685,2370028,302932,76655464198,69019814,348,76524623213,69454671,335769367561,8497961,50983903362,2939070,<not supported>,2180810,<not supported>,11200140,<not supported>,<not supported>,899883,203292,249065,117581,87841,336217788157,256793,50925097390,68996,<not supported>,<not supported>,232910,301414
P1_A,57123473671,116059611621,1151267,139174,7685016570,10187343,1175,7667673821,10167289,57921728192,2346357,14307737472,909557,<not supported>,614946,<not supported>,2735068,<not supported>,<not supported>,301527,61102,200463,81596,24400,58127598893,73662,14336490799,20715,<not supported>,<not supported>,13705,33971
P2_SL,14610422484,24062093034,17725730,15299509,5857796212,52590648,248401,5884128352,52970653,9434650893,27421223,3312795145,21739885,<not supported>,3904317,<not supported>,18311067,<not supported>,<not supported>,2802489,953741,15408137,10042347,1529568,9475272064,2509493,3282621652,1482560,<not supported>,<not supported>,892976,524875
P5_SL,58906393746,98222665375,103257743,93282902,23518429473,196280285,1458720,23530726073,196416847,36813341251,138273704,13287010075,112488786,<not supported>,13529284,<not supported>,61694804,<not supported>,<not supported>,8206599,1683345,92805346,57214735,3485928,36810823698,15199089,13316778587,8467131,<not supported>,<not supported>,273427,2038416
P4_SL,48146302524,80075897743,95384817,86731356,18639787984,156141132,1350208,18680252154,156693345,28403698973,127794537,11245769775,103062556,<not supported>,10606213,<not supported>,56705683,<not supported>,<not supported>,5925162,938700,85970446,53031326,3099370,28394528764,14542462,11288304189,7974199,<not supported>,<not supported>,91994,1629117
P3_A,137453110280,276989385894,1182261,140290,17953577538,52552741,171,17944322663,52834375,138302890028,3745485,34334117747,1265452,<not supported>,725446,<not supported>,5409258,<not supported>,<not supported>,398005,94846,166706,42130,35264,138418224556,429827,34353684538,31427,<not supported>,<not supported>,198613,66642
P1_SL,76921183572,145876257929,267049736,247235953,30040748022,59443518,3873059,30059885874,59471046,38764808453,380644515,22877003049,312975808,<not supported>,30631616,<not supported>,150439731,<not supported>,<not supported>,15955554,2105172,247459107,151260564,9665230,38607740358,39266346,22824140046,22554666,<not supported>,<not supported>,12554068,4440094
P3_SL,27769529639,45044517248,49617702,44332645,10477358060,107072352,688125,10500644892,107285762,16102080289,67221802,6433022091,54609416,<not supported>,5016227,<not supported>,24752664,<not supported>,<not supported>,3781069,1087729,43273751,26437411,2171409,16106231223,7060110,6459616218,4017926,<not supported>,<not supported>,105502,1128591
P5_A,289246449554,611919105070,2487077,278465,68817971129,120589667,372,68851787565,120866999,304306017447,8022720,48746708449,2720200,<not supported>,1518412,<not supported>,11920840,<not supported>,<not supported>,750305,175938,398157,90491,60450,304154377551,224572,48772752397,60515,<not supported>,<not supported>,232182,2031070
P2_A,39253847051,79803309756,390865,33407,5080246715,5888803,51,5088047582,5830303,39908348268,1293425,9948927108,476332,<not supported>,358055,<not supported>,1402355,<not supported>,<not supported>,103395,28214,88936,4606,14871,39894617206,33347,9965345987,9075,<not supported>,<not supported>,12805,17124
