File,Size
525.x264_r,646782
657.xz_s,250195
644.nab_s,254201
605.mcf_s,31596
544.nab_r,254201
505.mcf_r,31596
531.deepsjeng_r,116344
538.imagick_r,2660291
638.imagick_s,2660291
523.xalancbmk_r,6699132
511.povray_r,1265150
631.deepsjeng_s,116344
526.blender_r,18101160
500.perlbench_r,3364080
623.xalancbmk_s,6699132
602.gcc_s,13607861
625.x264_s,646782
541.leela_r,303950
508.namd_r,1191636
510.parest_r,13642237
502.gcc_r,13607861
519.lbm_r,33664
520.omnetpp_r,2881828
641.leela_s,303950
619.lbm_s,34608
600.perlbench_s,3364080
557.xz_r,250195
620.omnetpp_s,2881828
