functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,1108,619,488,0,729,268,110,465,264,81,186,0,1035,73,0,1595,304,0,262,488,4977,619,288,0,7136,6.440433,0.033394,2.000000,1071,1108,0,0,37,0,0,0,603,509,0,0,129,249,111,0,108,62,2172,2946,622,221,6919,1,4976,1,3556,0
func0,201,113,87,0,131,53,16,84,47,18,35,0,190,11,0,287,52,0,43,87,790,113,46,0,1163,5.786070,0.059701,2.000000,189,201,0,0,12,0,0,0,99,82,0,0,21,39,20,0,17,9,322,438,95,26,1106,0,790,0,551,0
func1,458,258,199,0,301,116,40,190,111,41,75,0,428,30,0,656,120,0,101,199,1925,258,116,0,2792,6.096070,0.043668,2.000000,438,458,0,0,20,0,0,0,229,190,0,0,52,100,44,0,44,20,822,1128,244,69,2679,0,1925,0,1354,0
func2,872,491,380,0,573,227,71,363,210,80,147,0,822,50,0,1251,228,0,185,380,3524,491,211,0,5139,5.893349,0.051606,2.000000,827,872,0,0,45,0,0,0,423,354,0,0,93,181,84,0,76,38,1480,2021,435,121,4918,0,3524,0,2460,0
func3,457,258,198,0,300,122,34,190,110,43,79,0,433,24,0,654,117,0,90,198,1720,258,104,0,2543,5.564551,0.061269,2.000000,429,457,0,0,28,0,0,0,208,171,0,0,49,88,40,0,36,19,698,958,210,51,2404,0,1720,0,1182,0
func4,289,163,125,0,190,73,25,119,71,26,47,0,269,20,0,413,75,0,60,125,1185,163,71,0,1728,5.979239,0.044983,2.000000,276,289,0,0,13,0,0,0,140,113,0,0,36,61,24,0,28,11,504,699,160,39,1645,0,1185,0,832,0
func5,78,44,33,0,50,22,5,33,17,7,15,0,75,3,0,110,19,0,16,33,257,44,15,0,395,5.064103,0.089744,2.000000,71,78,0,0,7,0,0,0,36,29,0,0,7,12,8,0,5,4,90,121,27,6,365,0,257,0,172,0
func6,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func7,23,13,9,0,15,5,2,9,5,2,3,0,19,4,0,31,5,0,5,9,117,13,8,0,167,7.260870,0.000000,0.000000,23,23,0,0,0,0,0,0,12,8,0,0,5,7,0,0,4,1,53,77,20,6,157,0,117,0,84,0
func8,62,35,26,0,39,18,4,26,13,7,11,0,58,4,0,87,15,0,5,26,218,35,11,0,320,5.161290,0.080645,2.000000,57,62,0,0,5,0,0,0,23,19,0,0,8,10,0,0,4,1,93,128,29,8,297,0,218,0,152,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
