functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,237,162,74,0,162,74,0,139,23,23,50,0,219,18,0,310,28,0,120,74,1374,162,168,0,1915,8.080169,0.000000,0.000000,237,237,0,0,0,0,0,0,71,70,0,0,10,151,65,0,36,29,452,631,162,147,1915,1,1373,1,762,0
func0,65,45,19,0,45,19,0,40,5,5,13,0,57,8,0,83,4,0,28,19,348,45,45,0,495,7.615385,0.000000,0.000000,65,65,0,0,0,0,0,0,19,18,0,0,2,41,16,0,10,5,111,155,45,36,493,0,348,0,188,0
func1,4,2,1,0,2,1,0,2,0,0,0,0,2,2,0,4,0,0,3,1,40,2,4,0,55,13.750000,0.000000,0.000000,4,4,0,0,0,0,0,0,4,3,0,0,1,4,1,0,2,0,15,18,6,8,56,0,40,0,29,0
func2,51,34,16,0,36,13,1,30,6,4,9,0,43,8,0,66,3,0,22,16,268,34,33,0,382,7.490196,0.000000,0.000000,51,51,0,0,0,0,0,0,17,16,0,0,3,30,11,0,8,4,86,118,33,33,381,0,268,0,151,0
func3,154,106,47,0,109,43,1,92,17,14,29,0,136,18,0,200,9,0,59,47,777,106,107,0,1108,7.194805,0.000000,0.000000,154,154,0,0,0,0,0,0,38,37,0,0,7,97,31,0,20,11,244,340,99,91,1103,0,777,0,411,0
func4,253,173,79,0,182,69,1,152,30,21,48,0,225,28,0,331,15,0,97,79,1249,173,168,0,1784,7.051383,0.000000,0.000000,253,253,0,0,0,0,0,0,62,61,0,0,11,152,51,0,32,19,391,547,155,143,1775,0,1249,0,658,0
func5,35,24,10,0,25,8,1,22,3,2,6,0,32,3,0,44,0,0,4,10,131,24,16,0,194,5.542857,0.000000,0.000000,35,35,0,0,0,0,0,0,7,6,0,0,1,15,1,0,2,1,34,50,18,12,185,0,131,0,64,0
func6,15,10,4,0,10,4,0,9,0,1,3,0,12,3,0,18,0,0,4,4,73,10,11,0,106,7.066667,0.000000,0.000000,15,15,0,0,0,0,0,0,4,3,0,0,1,10,1,0,2,1,21,29,12,10,102,0,73,0,39,0
func7,11,7,3,0,7,3,0,6,1,1,1,0,8,3,0,13,0,0,3,3,60,7,5,0,86,7.818182,0.000000,0.000000,11,11,0,0,0,0,0,0,6,5,0,0,1,5,1,0,2,0,19,25,8,8,85,0,60,0,39,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
