Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
output_8_15_vector.cpp,783619337,1026648539,3025376,693250,158825601,286851,237,158021336,303624,290596995,368010,<not supported>,<not supported>,170042,<not supported>,20299322,52208,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,31221,1788,<not supported>,<not supported>,<not supported>,<not supported>,11346,4188
output_8_8_array.cpp,4535413413,14436672790,72995059,7330852,3004526984,13689143,56646,2967327979,16249682,5303181217,23148510,<not supported>,<not supported>,4232591,<not supported>,250319376,1040232,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,2765343,188560,<not supported>,<not supported>,<not supported>,<not supported>,28352,493954
output_8_16_vector.cpp,12661219275,17794327414,49272007,6947301,2978521579,4790663,211,2974125298,4820377,6759734273,5626995,<not supported>,<not supported>,1542360,<not supported>,634029281,739273,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,508010,60165,<not supported>,<not supported>,<not supported>,<not supported>,125179,44955
output_8_14_array.cpp,11134989515,28791082471,218773098,16568898,5845544071,46232079,231246,5878826400,44791890,10635383384,63086418,<not supported>,<not supported>,11372100,<not supported>,774039141,4162347,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,8488252,682802,<not supported>,<not supported>,<not supported>,<not supported>,79505,1353894
output_8_11_scalar.cpp,3226355502,4416461862,3789069,517323,663431444,1184492,118,664910005,1108506,1097290695,654586,<not supported>,<not supported>,153096,<not supported>,9429756,52898,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,104916,4198,<not supported>,<not supported>,<not supported>,<not supported>,13081,12653
output_8_13_array.cpp,11483134831,31021625685,245611995,17316195,6275120387,49479856,276317,6280431987,50926074,11321143695,74316577,<not supported>,<not supported>,12807895,<not supported>,902290185,4221554,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,7515727,751450,<not supported>,<not supported>,<not supported>,<not supported>,47256,1592541
output_8_8_scalar.cpp,131665043,171051890,766521,189378,26776270,59852,115,27462466,67561,45489231,41702,<not supported>,<not supported>,18989,<not supported>,1954832,16510,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not counted>,<not counted>,<not supported>,<not supported>,<not supported>,<not supported>,<not counted>,<not counted>
output_8_7_scalar.cpp,154941466,197700843,826428,132727,29838965,60884,115,29867189,42141,48352467,20159,<not supported>,<not supported>,10241,<not supported>,1363930,1737,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,17064,<not counted>,<not supported>,<not supported>,<not supported>,<not supported>,<not counted>,<not counted>
output_8_15_array.cpp,13889857502,43094340626,224922753,22985939,9179428744,39210688,173416,9211106896,37461172,16489428344,65197284,<not supported>,<not supported>,14525368,<not supported>,736464974,3269828,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,9284710,550273,<not supported>,<not supported>,<not supported>,<not supported>,90063,1428929
output_8_6_list.cpp,34381256,44953157,244077,58031,7087669,35474,118,7218197,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not counted>,<not counted>,<not supported>,<not supported>,<not supported>,<not supported>,<not counted>,<not counted>
output_8_14_list.cpp,2296729601,3062617225,3637448,732666,471023228,652420,139,470941569,701869,841190285,579587,<not supported>,<not supported>,122844,<not supported>,23966005,51570,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,<not supported>,52048,4968,<not supported>,<not supported>,<not supported>,<not supported>,17733,5567
