Suite,Benchmark,Language,cpu-cycles,instructions,cache-references,cache-misses,cache-misses %,branch-instructions,branch-misses,branch-misses %,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
SPECrate®2017 Integer,500.perlbench_r,C,131876673134,196767168971,783601521,25077500,3.20%,39822116666,807006127,2.03%,352284,39745922168,806604989,59796691912,1692297330,29664023277,393770196,280547494,2039287246,467240959,12107956,47113417,8867966,4847456,58047523133,75164031,28460704594,11403361,42028758,15585663
SPECrate®2017 Integer,502.gcc_r,C,199007307950,273938588533,1869540781,65643811,3.51%,55284491821,1405207713,2.54%,636132,56253331018,1420789762,74379187021,3951672915,35331095351,834024632,1008278887,1874079657,1489290833,28672810,183046943,29030281,18499929,73347521228,301960438,35189608946,28263639,45092481,21660362
SPECrate®2017 Integer,505.mcf_r,C,247806071746,170958139020,6545638967,619657575,9.47%,40363664818,3182858479,7.89%,426836,40794823977,3189033419,57448632910,9758070524,19823604462,1000757909,1888604401,430754352,6663590790,791431990,188303610,63446648,268544974,56424410338,555692573,19491499421,38165844,14851649,5420502
SPECrate®2017 Integer,520.omnetpp_r,C++,272867863525,206744291030,3093229880,565646262,18.29%,40550191129,858872549,2.12%,335693,40646973423,856456170,59605522536,4569923332,31876782532,1454355459,504869734,785352141,2657937052,513295846,210628112,48135704,130790231,59593618183,1004434474,32178061846,101056375,23139294,22116642
SPECrate®2017 Integer,523.xalancbmk_r,C++,193790500462,341821369527,543505835,37211387,6.85%,68917187596,619291622,0.90%,362144,68657164669,622627727,103108721409,1967449597,52964024277,609883699,384567148,2033584386,285342131,31137428,59376337,12148207,7395576,102152919801,50749351,53209575238,7218941,74522461,11818779
SPECrate®2017 Integer,525.x264_r,C,183942781950,463687260827,729657460,52999405,7.26%,24642090126,599300384,2.43%,357964,24472865761,602989225,110303517567,1845902756,29556736703,350878838,719739860,1109338076,429604743,37635275,83553987,21022141,24814251,109828901305,74549235,30453690124,8532933,11392698,7494172
SPECrate®2017 Integer,531.deepsjeng_r,C++,242056161220,367200964726,626239731,259442807,41.43%,56153896538,1953305531,3.48%,449956,56655946260,1974274724,95622121864,1404581038,46645456411,519662567,217322766,748586773,381269882,132034280,160099574,105905116,3852323,93295659688,120326048,45958462768,9773001,12431136,4969129
SPECrate®2017 Integer,541.leela_r,C++,316726682457,399780624274,444404276,17175972,3.86%,65019205475,5311741245,8.17%,281741,65232386463,5354489580,109024021493,1905628527,40090405116,422067239,344800435,442493386,278619300,8198232,82826062,8646844,2123847,108320758375,52028796,40327418248,6080719,11838293,5529131
SPECrate®2017 Integer,548.exchange2_r,Fortran,121646484189,254129199306,237779750,17419157,7.33%,44037178291,842344992,1.91%,271210,43812206827,844436225,71809521033,203605526,39932941991,113292500,74192044,424337376,123642013,7189639,21411547,5765823,2366089,69094752135,40404309,39429236449,4509354,10642459,4782092
SPECrate®2017 Integer,557.xz_r,C,152343828225,184113631622,952114120,124630209,13.09%,25639245214,1277426799,4.98%,725431,25693174428,1281044729,42712137944,1734856152,16426446454,697741808,278279445,408005393,788944275,89448323,93558996,38874128,11773972,41659963867,380981954,16761169784,14371403,11432796,8093067
